model_id,operation,scenario,paired_cases,speedup_mean,speedup_median,speedup_ci95_low,speedup_ci95_high,memory_ratio_mean,memory_ratio_median,memory_ratio_ci95_low,memory_ratio_ci95_high,storage_ratio_mean,kernel_confirmed,conclusion
facebook/opt-6.7b,model_prefill,attention_int8_dynamic,9,1.1399608445647398,1.1692820165790994,1.0092610776960524,1.2486378120916697,0.8403141789514552,0.8388612105116959,0.838861123778218,0.8432694718819265,0.8388192942438626,True,sustentada
facebook/opt-6.7b,model_prefill,attention_int8_weight_only,9,0.028274041493164807,0.02607018260080744,0.025202508029398073,0.0335921413507978,0.8402629723752506,0.8388612105116959,0.838861123778218,0.8428086126960855,0.8388192942438626,False,contradita
facebook/opt-6.7b,model_prefill,attention_pruning_2to4,9,1.041471469592539,1.029829138051178,0.9741696767239837,1.1110513503880444,0.8607950314663424,0.85890021462837,0.8589001386809512,0.8631248218052403,0.8588979849951157,True,mista
facebook/opt-6.7b,model_prefill,blocks_int8_dynamic,9,1.6852956911288874,1.7556330606564543,1.170735056787483,2.136891092055054,0.5208441151780566,0.516495050475633,0.51649479022752,0.5287333775840162,0.51639882775879,True,sustentada
facebook/opt-6.7b,model_prefill,blocks_int8_weight_only,9,0.009789025778879095,0.009048061388485573,0.008747313554001178,0.01177514022671487,0.520806715582894,0.516495050475633,0.51649479022752,0.5284114362386989,0.51639882775879,False,contradita
facebook/opt-6.7b,model_prefill,blocks_pruning_2to4,9,1.1094835563474135,1.0729671265730898,1.0167961017947973,1.2275589236596316,0.5809806143004119,0.5767006438851099,0.5767004160428536,0.5871469793508232,0.576693954985347,True,sustentada
facebook/opt-6.7b,model_ttft,attention_int8_dynamic,9,1.1370568342124974,1.1655564598991517,1.0031764282422069,1.2472945815586156,0.8397456394088892,0.83886116094972,0.838861123778218,0.8388612105116959,0.8388192942438626,True,sustentada
facebook/opt-6.7b,model_ttft,attention_int8_weight_only,9,0.02834664727281129,0.026106968022850934,0.02518740648043128,0.03372567593548286,0.8397456394088892,0.83886116094972,0.838861123778218,0.8388612105116959,0.8388192942438626,False,contradita
facebook/opt-6.7b,model_ttft,attention_pruning_2to4,9,1.0498680618957021,1.034783251306012,0.9746070397052697,1.139531144229075,0.8595249590062095,0.858900171229855,0.8589001386809512,0.85890021462837,0.8588979849951157,True,mista
facebook/opt-6.7b,model_ttft,blocks_int8_dynamic,9,1.6869393459098558,1.744001248444381,1.1859193137603639,2.1404003793834834,0.51926525523026,0.5164949017624599,0.51649479022752,0.516495050475633,0.51639882775879,True,sustentada
facebook/opt-6.7b,model_ttft,blocks_int8_weight_only,9,0.00986384857383922,0.009064645296491796,0.008742772197156619,0.011847133097093556,0.51926525523026,0.5164949017624599,0.51649479022752,0.516495050475633,0.51639882775879,False,contradita
facebook/opt-6.7b,model_ttft,blocks_pruning_2to4,9,1.1148203971327777,1.072220110051069,1.015986953956803,1.2461610612345855,0.5788742732702991,0.5767005136895649,0.5767004160428536,0.5767006438851099,0.576693954985347,True,sustentada
